,index,outlier,score
652,7439,C(min),0.5412086816653819
653,7441,G(min),0.5012844395396513
654,7463,G(min),0.5012844395396513
655,7466,D(maj),0.514158891661946
656,7497,vi,0.5211389004144182
657,7498,vi,0.5211389004144182
658,7523,D(maj),0.514158891661946
659,7531,C(min),0.5412086816653819
660,7532,C(min),0.5412086816653819
661,7545,D(maj),0.514158891661946
662,7546,D(maj),0.514158891661946
663,7550,F(min),0.531675187881862
664,7554,D(maj),0.514158891661946
665,7586,D(maj),0.514158891661946
666,7611,D(maj),0.514158891661946
667,7612,D(maj),0.514158891661946
668,7613,D(maj),0.514158891661946
669,7614,vi,0.5211389004144182
670,7615,D(maj),0.514158891661946
671,7626,D(maj),0.514158891661946
672,7630,D(maj),0.514158891661946
673,7631,D(maj),0.514158891661946
674,7632,C(min),0.5412086816653819
675,7638,vi,0.5211389004144182
676,7660,D(maj),0.514158891661946
677,7665,C(min),0.5412086816653819
678,7730,D(maj),0.514158891661946
679,7731,D(maj),0.514158891661946
680,7743,D(maj),0.514158891661946
681,7747,G(min),0.5012844395396513
682,7748,C(min),0.5412086816653819
683,7749,F(min),0.531675187881862
684,7762,D(maj),0.514158891661946
685,7767,G(min),0.5012844395396513
686,7768,G(min),0.5012844395396513
687,7769,C(min),0.5412086816653819
688,7798,G(min),0.5012844395396513
689,7799,F(min),0.531675187881862
690,7857,F(min),0.531675187881862
691,7872,F(min),0.531675187881862
692,7882,D(maj),0.514158891661946
693,7894,C(min),0.5412086816653819
694,7901,G(min),0.5012844395396513
695,7956,G(min),0.5012844395396513
696,7959,D(maj),0.514158891661946
697,7965,G(min),0.5012844395396513
698,7974,G(min),0.5012844395396513
699,8015,F(min),0.531675187881862
700,8016,F(min),0.531675187881862
701,8017,G(min),0.5012844395396513
702,8019,C(min),0.5412086816653819
703,8020,G(min),0.5012844395396513
704,8041,D(maj),0.514158891661946
705,8059,C(min),0.5412086816653819
706,8061,D(maj),0.514158891661946
707,8074,G(min),0.5012844395396513
708,8075,G(min),0.5012844395396513
709,8076,G(min),0.5012844395396513
710,8078,D(maj),0.514158891661946
711,8098,D(maj),0.514158891661946
712,8141,D(maj),0.514158891661946
713,8200,D(maj),0.514158891661946
714,8218,G(min),0.5012844395396513
715,8221,G(min),0.5012844395396513
716,8225,G(min),0.5012844395396513
717,8262,C(min),0.5412086816653819
718,8263,G(min),0.5012844395396513
719,8264,G(min),0.5012844395396513
720,8267,F(min),0.531675187881862
721,8366,D(maj),0.514158891661946
722,8372,C(min),0.5412086816653819
723,8394,D(maj),0.514158891661946
724,8398,D(maj),0.514158891661946
725,8406,C(min),0.5412086816653819
726,8408,D(maj),0.514158891661946
727,8409,G(min),0.5012844395396513
728,8435,D(maj),0.514158891661946
729,8443,vi,0.5211389004144182
730,8444,vi,0.5211389004144182
731,8514,G(min),0.5012844395396513
732,8515,G(min),0.5012844395396513
733,8518,D(maj),0.514158891661946
734,8524,D(maj),0.514158891661946
735,8528,F(min),0.531675187881862
736,8529,F(min),0.531675187881862
737,8561,G(min),0.5012844395396513
738,8596,D(maj),0.514158891661946
739,8598,D(maj),0.514158891661946
740,8599,D(maj),0.514158891661946
741,8600,vi,0.5211389004144182
742,8614,D(maj),0.514158891661946
